Property_ID,Name,Location,Price,Size_sqft,BHK,Amenities,Distance_to_Transit
P001,DLF The Aralias,Gurgaon Sector 42,₹1.5L,4500,4,"Clubhouse, Pool, Spa",8
P002,M3M Golf Estate,Gurgaon Sector 65,₹1.2L,3200,3,"Golf Course, Gym, Concierge",12
P003,Ambience Caitriona,Gurgaon NH-8,₹2.0L,5000,4,"Private Elevators, Park, Security",5
P004,Godrej South Estate,Okhla South Delhi,₹85k,1800,2,"Air Purification, Garden",6
P005,Jaypee Greens-The Castille,Greater Noida,₹45k,2100,3,"Golf View, Club, Parking",15
P006,Vatika City,Gurgaon Sector 49,₹40k,1600,2,"Market, Schools nearby, Gym",10
P007,EMAAR Palm Drive,Gurgaon Sector 66,₹65k,2200,3,"Sports Facilities, Pool",11
P008,The Magnolias,Gurgaon Sector 42,₹3.5L,6000,5,"Ultra Luxury, Full Service",7
P009,Ats Knightsbridge,Noida Sector 124,₹1.8L,6000,4,"Large Decks, Private Lift",9
P010,Mahagun Moderne,Noida Sector 78,₹35k,1250,2,"Central Park, Convenience Store",5
P011,Paras Quartier,Gurgaon Gwal Pahari,₹1.2L,5000,4,"Sky Lounge, Private Clubhouse",14
P012,The Leela Sky Villas,Kirti Nagar Delhi,₹1.1L,2400,3,"Hotel Managed, High End",4
P013,M3M Merlin,Gurgaon Sector 67,₹55k,1800,3,"Tri-side Open, Gym, Pool",10
P014,Bestech Park View Spa,Gurgaon Sector 47,₹50k,2350,3,"Spa, Salon, Club",8
P015,Omaxe Forest Spa,Noida Sector 93B,₹60k,2500,4,"Forest View, Clubhouse",11
P016,Vipul Belmonte,Gurgaon Golf Course Road,₹75k,2450,3,"Prime Location, Security",7
P017,Sushant Estate,Gurgaon Sector 52,₹38k,1400,2,"Market Near, Gated",9
P018,Exotica Dreamville,Greater Noida West,₹22k,1100,2,"Affordable, Park, Clubhouse",15
P019,Supertech North Eye,Noida Sector 74,₹45k,1500,2,"Helipad, High Rise",12
P020,Birla Navya,Gurgaon Sector 63A,₹80k,2200,3,"Low Rise, Gated, Gym",8
P021,Emaar DigiHomes,Gurgaon Sector 62,₹70k,1500,2,"Voice Command, Smart Home",10
P022,Tata Primanti,Gurgaon Sector 72,₹95k,2500,3,"Villas, Penthouses, Spa",11
P023,Risland Sky Mansion,Chhattarpur Delhi,₹1.6L,3300,3,"Smart Tech, Prime Location",6
P024,Prateek Edifice,Noida Sector 107,₹55k,2100,3,"Luxury Finishing, Pool",7
P025,Unitech Cascades,Greater Noida,₹28k,1350,2,"Open Area, Security",18
P026,Sobha International City,Gurgaon Sector 109,₹1.3L,4000,4,"Villa Life, Large Garden",20
P027,Godrej Woods,Noida Sector 43,₹75k,2000,3,"Urban Forest, Pool, Gym",5
P028,Experion Windchants,Gurgaon Sector 112,₹1.1L,3000,3,"Skywalk, Low Density",12
P029,Lotus Boulevard,Noida Sector 100,₹42k,1600,3,"Green Building, IGBC",8
P030,Mapsko Mount Ville,Gurgaon Sector 79,₹35k,1450,2,"Aravali View, Balcony",15
P031,M3M Soulitude,Gurgaon Sector 89,₹48k,1200,2,"Boutique Floors, Security",14
P032,Ace Parkway,Noida Sector 150,₹52k,1750,3,"Sports Theme, Track",9
P033,Gulshan Dynasty,Noida Sector 144,₹1.4L,4700,4,"Hydroponics, Spa",11
P034,SS The Leaf,Gurgaon Sector 85,₹41k,1650,2,"Modern, Clubhouse, Gym",13
P035,Sikka Kaamna Residency,Noida Sector 143,₹32k,1200,2,"Balcony, Gated Community",7
P036,The Crest,Gurgaon Sector 54,₹1.8L,3500,4,"Double Height Lobby, Concierge",5
P037,Ireo Victory Valley,Gurgaon Sector 67,₹68k,2400,3,"Vertical Garden, Sky Deck",9
P038,Wave One,Noida Sector 18,₹90k,2000,3,"Office cum Residential, Hub",2
P039,Gaur City,Greater Noida West,₹20k,1050,2,"Large Township, Schools",17
P040,Cleo County,Noida Sector 121,₹48k,1800,3,"Egyptian Theme, Pool",10
P041,Godrej Meridien,Gurgaon Sector 106,₹85k,2000,3,"Cinema, Fine Dining inside",8
P042,The Grand Arch,Gurgaon Sector 58,₹70k,2100,3,"Unique Architecture, Security",9
P043,Mahagun Mezzaria,Noida Sector 78,₹62k,2300,3,"Double Height Ceiling, Luxury",6
P044,ATS One Hamlet,Noida Sector 104,₹58k,1750,3,"Prime Area, High Rental",5
P045,Orris Aster Court,Gurgaon Sector 85,₹33k,1300,2,"Green Layout, Club",14
P046,Victory Ace,Noida Sector 143,₹36k,1450,3,"High Tech, Pool",11
P047,Puri Emerald Bay,Gurgaon Sector 104,₹65k,2000,3,"Villas, Gated, Gym",8
P048,Conscient Heritage One,Gurgaon Sector 62,₹60k,2200,3,"Location choice, Spa",10
P049,Eldeco Utopia,Noida Sector 93A,₹55k,2100,3,"Established Community, Green",6
P050,Suncity Vatsal Valley,Gurgaon Gwal Pahari,₹52k,1300,2,"Low Rise, Forest Edge",15
P051,Mahagun Marvella,Noida Sector 78,₹65k,2500,4,"Sky Villas, Luxury",7
